name,source,lat,lon,address,deal,timing,image_url,image_source,local_image,website,wikidata,wikipedia,category
The Great Kabab Factory,OSM,12.9946821,80.1874068,"The Great Kabab Factory, Grand Southern Trunk Road, CMWSSB Division 201, St. Thomas Mount Cantonment, St.Thomas Mount-Pallavaram Cantonment Board, Alandur, Chennai, Tamil Nadu, 600114, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\the_great_kabab_factory_0.jpg,,,,restaurant
Tangerine,OSM,13.0392554,80.2556216,"Tangerine, Maharaja Surya Road, CMWSSB Division 118, Ward 118, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600018, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),https://img.restaurantguru.com/w550/h367/rd46-Tangerine-Sizzlers-Steak-and-More-interior.jpg,web,venue_images\tangerine_1.jpg,,,,restaurant
Ente Keralam,OSM,13.0421141,80.2558968,"Ente Keralam, Kasturi Estate 1st Street, CMWSSB Division 118, Ward 118, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600018, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\ente_keralam_2.jpg,,,,restaurant
Suriyas,OSM,13.0383186,80.2566708,"Suriyas, Mowbrays Road, CMWSSB Division 118, Ward 123, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600018, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,google_content,venue_images\suriyas_3.jpg,,,,restaurant
Ananda,OSM,13.0391641,80.247219,"Ananda, Anna Salai (Mount Road), Vaniya Teynampet, Ward 123, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600018, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\ananda_4.jpg,,,,restaurant
Midnight Express,OSM,13.0409358,80.2586973,"Midnight Express, TTK Road, CMWSSB Division 119, Ward 119, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600018, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\midnight_express_5.jpg,,,,restaurant
Ward113 Teynampet,OSM,13.0481046,80.2503687,"Ward113 Teynampet, Muthiah Street, CMWSSB Division 118, Ward 118, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600086, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\ward113_teynampet_6.jpg,,,,restaurant
Ward 123 Bheemanapettai,OSM,13.0341583,80.2573155,"Ward 123 Bheemanapettai, CP Ramaswamy Road, CMWSSB Division 123, Ward 123, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600018, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),https://img.restaurantguru.com/r634-Geetham-Veg-Restaurant-interior-2023-04.jpg,web,venue_images\ward_123_bheemanapettai_7.jpg,,,,restaurant
High Time,OSM,13.0398535,80.2449822,"High Time, Sir Thyagaraya Road, CMWSSB Division 117, Ward 117, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600018, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\high_time_8.jpg,,,,restaurant
Pizza Hut,OSM,13.0055904,80.251822,"Pizza Hut, Kasturibai Nagar 3rd Cross Street, CMWSSB Division 175, Ward 175, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600020, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\pizza_hut_9.jpg,,,,restaurant
Basera,OSM,12.9329807,80.2517763,"Basera, East Coast Road, CMWSSB Division 196, Ward 196, Zone 15 Sholinganallur, Chennai Corporation, Sholinganallur, Chennai, Tamil Nadu, 600115, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\basera_10.jpg,,,,restaurant
