name,category,area,address,lat,lon,phone,email,website,facebook,instagram,tiktok,twitter,opening_hours,happy_hour_status,happy_hour_details,happy_hour_timings,confidence,sources,source_urls,evidence_text
MK Restaurants,restaurant,Krabi Town,,8.1085692,98.9275099,1642,,https://www.mkrestaurant.com/,https://www.facebook.com/mkrestaurants,https://www.instagram.com/p/ClNQcd-LDKC,,,"PH,Mo-Su 11:00-21:00",mentioned,"เครื่องดื่ม, โปรโมชั่น",,1.0,overpass_osm | website | website_inner,https://www.mkrestaurant.com/ | https://www.mkrestaurant.com/th/mk-menu | https://www.mkrestaurant.com/th/promotion | https://www.mkrestaurant.com/th/promotion/detail/mk-happy-cake?mode=preview | https://www.mkrestaurant.com/th/promotion/detail/mk-คุ้มเกินคุ้ม-299-จัดมหกรรมลูกชิ้นมาเป็นกองทัพ-อร่อยได้ไม่อั้น | https://www.mkrestaurant.com/th/promotion/detail/mk-คุ้มเกินคุ้ม-299-สำหรับสมาชิก-mk | https://www.mkrestaurant.com/th/promotion/detail/ข้าวไข่ข้นกะเพรา | https://www.mkrestaurant.com/th/promotion/detail/คุ้มตั้งแต่สมัคร-เป็นสมาชิก-mk-red-e-member-วันนี้-รับฟรี-ใช้ส่วนลดได้ทันที-สมัครเพียง-129 | https://www.mkrestaurant.com/th/promotion/detail/น้ำจิ้ม-mk-สูตรเผ็ดร้อนจัดจ้าน | https://www.mkrestaurant.com/th/promotion/detail/สมาชิก-mk-red-ฉลองวันเกิดสุดพิเศษกับชุด-birthday-special-เพียง-599-บาท-ปกติ-859-บาท-2 | https://www.mkrestaurant.com/th/promotion/detail/สิทธิพิเศษสำหรับลูกค้าผู้ถือบัตรเครดิต-gsb-1 | https://www.openstreetmap.org/node/3374348433 | https://www.openstreetmap.org/node/3374348434,MK Restaurants restaurant || Mkrestaurant.com | MK คุ้มเกินคุ้ม 299 สำหรับสมาชิก MK | ช่วงเวลาแห่งความสุข โปรโมชั่น เอ็มเคเมนู สาขาเอ็มเค เกี่ยวกับเอ็มเค ตำนานเอ็มเคสุกี้ รางวัลแห่งความสำเร็จ กิจกรรมเพื่อสังคม ติดต่อเรา ติดต่อสอบถาม แนะนำติชมบริการ ร่วมงานกับเรา นักลงทุนสัมพันธ์ นโยบายความเป็นส่วนตัว นโยบายการใช้เว็บไซต์ เอ็มเคเดลิเวอรี่ เอ็มเค ญี่ปุ่น TH EN CN TH EN CN Delivery Service 1642 MK Member Card MK คุ้มเกินคุ้ม 299 สำหรับสมาชิก MK ระยะเวลาโปรโมชั่น 9 มีนาคม 2569 - 30 มิถุนายน 2569 สำหรับสมาชิก MK ทุกประเภทบัตร ต่ || Mkrestaurant.com | MK คุ้มเกินคุ้ม 299.- จัดมหกรรมลูกชิ้นมาเป็นกองทัพ! อร่อยได้ไม่อั้น | ช่วงเวลาแห่งความสุข โปรโมชั่น เอ็มเคเมนู สาขาเอ็มเค เกี่ยวกับเอ็มเค ตำนานเอ็มเคสุกี้ รางวัลแห่งความสำเร็จ กิจกรรมเพื่อสังคม ติดต่อเรา ติดต่อสอบถาม แนะนำติชมบริการ ร่วมงานกับเรา นักลงทุนสัมพันธ์ นโยบายความเป็นส่วนตัว นโยบายการใช้เว็บไซต์ เอ็มเคเดลิเวอรี่ เอ็มเค ญี่ปุ่น TH EN CN TH EN CN Delivery Service 1642 MK Member Card MK คุ้มเกินคุ้ม 299.- จัดมหกรรมลูกชิ้นมาเป็นกองทัพ! อร่อยได้ไม่อั้น ระยะเวลาโปรโมชั่น 3 || Mkrestaurant.com | MK อาหารดี สดใหม่ สำหรับทุกคน | ช่วงเวลาแห่งความสุข โปรโมชั่น เอ็มเคเมนู สาขาเอ็มเค เกี่ยวกับเอ็มเค ตำนานเอ็มเคสุกี้ รางวัลแห่งความสำเร็จ กิจกรรมเพื่อสังคม ติดต่อเรา ติดต่อสอบถาม แนะนำติชมบริการ ร่วมงานกับเรา นักลงทุนสัมพันธ์ นโยบายความเป็นส่วนตัว นโยบายการใช้เว็บไซต์ เอ็มเคเดลิเวอรี่ เอ็มเค ญี่ปุ่น TH EN CN TH EN CN Delivery Service 1642 MK Member Card PROMOTIONS MK MENU MK MEMBERSHIP MK SOCIAL สาขาเอ็มเค โปรโมชัน MK คุ้มจัดได้ อร่อยจุใจ โปรแนะนำ โปรโมชั่นทั้งหมด สุกี้ อาหารจ || Mkrestaurant.com | MK เมนู อร่อย หลากหลาย | ช่วงเวลาแห่งความสุข โปรโมชั่น เอ็มเคเมนู สาขาเอ็มเค เกี่ยวกับเอ็มเค ตำนานเอ็มเคสุกี้ รางวัลแห่งความสำเร็จ กิจกรรมเพื่อสังคม ติดต่อเรา ติดต่อสอบถาม แนะนำติชมบริการ ร่วมงานกับเรา นักลงทุนสัมพันธ์ นโยบายความเป็นส่วนตัว นโยบายการใช้เว็บไซต์ เอ็มเคเดลิเวอรี่ เอ็มเค ญี่ปุ่น TH EN CN TH EN CN Delivery Service 1642 MK Member Card สุกี้นัวไข่เข้มข้นหมู (เล็ก) สุกี้นัวไข่เข้มข้นหมู (เล็ก) ฿499 790.23 CALORIES *ราคาบนเว็บไซต์อาจมีการปรับเปลี่ยนโดยไม่ต้องแจ้งล่วงห || Mkrestaurant.com | คุ้มตั้งแต่สมัคร! เป็นสมาชิก MK Red E-Member วันนี้ รับฟรี + ใช้ส่วนลดได้ทันที สมัครเพียง 129.- | ช่วงเวลาแห่งความสุข โปรโมชั่น เอ็มเคเมนู สาขาเอ็มเค เกี่ยวกับเอ็มเค ตำนานเอ็มเคสุกี้ รางวัลแห่งความสำเร็จ กิจกรรมเพื่อสังคม ติดต่อเรา ติดต่อสอบถาม แนะนำติชมบริการ ร่วมงานกับเรา นักลงทุนสัมพันธ์ นโยบายความเป็นส่วนตัว นโยบายการใช้เว็บไซต์ เอ็มเคเดลิเวอรี่ เอ็มเค ญี่ปุ่น TH EN CN TH EN CN Delivery Service 1642 MK Member Card คุ้มตั้งแต่สมัคร! เป็นสมาชิก MK Red E-Member วันนี้ รับฟรี || Mkrestaurant.com | สมาชิก MK Red ฉลองวันเกิดสุดพิเศษกับชุด Birthday Special เพียง 599 บาท (ปกติ 859 บาท) | ช่วงเวลาแห่งความสุข โปรโมชั่น เอ็มเคเมนู สาขาเอ็มเค เกี่ยวกับเอ็มเค ตำนานเอ็มเคสุกี้ รางวัลแห่งความสำเร็จ กิจกรรมเพื่อสังคม ติดต่อเรา ติดต่อสอบถาม แนะนำติชมบริการ ร่วมงานกับเรา นักลงทุนสัมพันธ์ นโยบายความเป็นส่วนตัว นโยบายการใช้เว็บไซต์ เอ็มเคเดลิเวอรี่ เอ็มเค ญี่ปุ่น TH EN CN TH EN CN Delivery Service 1642 MK Member Card สมาชิก MK Red ฉลองวันเกิดสุดพิเศษกับชุด Birthday Special เพียง 599 บา || Mkrestaurant.com | สิทธิพิเศษสำหรับลูกค้าผู้ถือบัตรเครดิต GSB | ช่วงเวลาแห่งความสุข โปรโมชั่น เอ็มเคเมนู สาขาเอ็มเค เกี่ยวกับเอ็มเค ตำนานเอ็มเคสุกี้ รางวัลแห่งความสำเร็จ กิจกรรมเพื่อสังคม ติดต่อเรา ติดต่อสอบถาม แนะนำติชมบริการ ร่วมงานกับเรา นักลงทุนสัมพันธ์ นโยบายความเป็นส่วนตัว นโยบายการใช้เว็บไซต์ เอ็มเคเดลิเวอรี่ เอ็มเค ญี่ปุ่น TH EN CN TH EN CN Delivery Service 1642 MK Member Card สิทธิพิเศษสำหรับลูกค้าผู้ถือบัตรเครดิต GSB ระยะเวลาโปรโมชั่น 1 มกราคม 2569 - 31 ธันวาคม 2569 สิทธิพิเศษสำหรับลูก
Apache Bar,bar,Koh Phi Phi,,7.7416225,98.7734705,,,,,,,,,candidate,,,0.43,overpass_osm,https://www.openstreetmap.org/node/1225189694 | https://www.openstreetmap.org/node/574386953,Apache Bar bar || Apache Bar pub
Api Restaurant,bar,Koh Phi Phi,,7.7616905,98.7720628,,,,,,,,,candidate,,,0.43,overpass_osm,https://www.openstreetmap.org/node/6286134336 | https://www.openstreetmap.org/way/329706242,Api Bar bar || Api Restaurant restaurant
Bamboo Bar,bar,Railay,,8.0123802,98.8430327,,,,,,,,,candidate,,,0.43,overpass_osm,https://www.openstreetmap.org/node/2624836739 | https://www.openstreetmap.org/node/660225546,Bamboo Bar bar || Bamboo restaurant
Buffalo Head Bar,bar,Koh Phi Phi,,7.7617409,98.7706217,,,,,,,,,candidate,,,0.43,overpass_osm,https://www.openstreetmap.org/node/12526618846 | https://www.openstreetmap.org/node/5626632121,Buffalo Head Bar bar || Buffalo Head restaurant
Country Restaurant,bar,Koh Lanta,,7.6224508,99.0329981,,,,,,,,,candidate,,,0.43,overpass_osm,https://www.openstreetmap.org/node/13282883202 | https://www.openstreetmap.org/way/1369112645,Country Restaurant restaurant || Country bar
Fin's Stoned Bar,bar,Koh Lanta,,7.5702064,99.0336311,,,,,,,,24/7,candidate,,,0.43,overpass_osm,https://www.openstreetmap.org/node/4171888690 | https://www.openstreetmap.org/node/7130586485,Fin's Stoned Bar bar || Fin's stoned bar bar
Freedom Bar,bar,Railay,,8.0193218,98.8349381,,,,,,,,Mo-Su 07:30-14:00,candidate,,,0.43,overpass_osm,https://www.openstreetmap.org/node/10968740708 | https://www.openstreetmap.org/node/4620581576,Freedom Bar bar
Kph Pu Valley Bar,bar,Koh Jum,,7.8369077,98.94316,,,,,,,,,candidate,,,0.43,overpass_osm,https://www.openstreetmap.org/node/7150512179 | https://www.openstreetmap.org/node/7150512180,Koh Pu Valley restaurant || Kph Pu Valley Bar bar
Lovely restaurant,bar,Railay,,8.0321006,98.8252551,+66 87 876 4087,,,,,,,19:00-02:00,candidate,,,0.43,overpass_osm,https://www.openstreetmap.org/node/4770351121 | https://www.openstreetmap.org/node/5422056240,Lovely bar bar || Lovely restaurant restaurant
Monkey Bar,bar,Koh Lanta,,7.5695383,99.0339347,,,,,,,,,candidate,,,0.43,overpass_osm,https://www.openstreetmap.org/node/2624917229 | https://www.openstreetmap.org/way/1075829667,Monkey Bar bar || Monkey Bar pub
Pool Restaurant,bar,Koh Phi Phi,,7.7590659,98.7747268,,,,,,,,,candidate,,,0.43,overpass_osm,https://www.openstreetmap.org/node/5347961662 | https://www.openstreetmap.org/way/671581361,Pool Bar bar || Pool Restaurant restaurant
Rimlay Restaurant,bar,Koh Phi Phi,,7.7362481,98.7756461,,,,,,,,,candidate,,,0.43,overpass_osm,https://www.openstreetmap.org/node/4620581552 | https://www.openstreetmap.org/node/4620581587,Rimlay Bar bar || Rimlay Restaurant restaurant
Sunset Bar,bar,Railay,,8.0102421,98.8382214,,,,,,,,,candidate,,,0.43,overpass_osm,https://www.openstreetmap.org/node/3682431338 | https://www.openstreetmap.org/way/1350844262,Sunset Bar bar || Sunset restaurant
The Beach Restaurant,bar,Railay,,8.0309366,98.822442,,,,,,,,,candidate,,,0.43,overpass_osm,https://www.openstreetmap.org/node/12526618850 | https://www.openstreetmap.org/node/12811105997 | https://www.openstreetmap.org/node/6021681962 | https://www.openstreetmap.org/node/6942648550,The Beach Bar bar || The Beach Restaurant restaurant
The Cliff Cafe & Restaurant,bar,Railay,,8.0171761,98.8342756,,,,,,,,Mo-Su 11:00-24:00,candidate,,,0.43,overpass_osm,https://www.openstreetmap.org/node/4032296361 | https://www.openstreetmap.org/node/7160410427,The Cliff Bar bar || The Cliff Cafe & Restaurant restaurant
Tree House Bar & Restaurant,bar,Railay,,8.0120976,98.8427045,,,,,,,,"PH,Mo-Su 11:00-23:00",candidate,,,0.43,overpass_osm,https://www.openstreetmap.org/node/4620581575 | https://www.openstreetmap.org/node/6300528387,Tree House Bar & Restaurant bar || Tree House restaurant
Twin Lotus,bar,Koh Lanta,,7.6418323,99.0277598,,,,,,,,Mo-Su 10:00-23:00,candidate,,,0.43,overpass_osm,https://www.openstreetmap.org/node/4634421389 | https://www.openstreetmap.org/node/5702410322,Twin Lotus bar || Twin Lotus restaurant
4Play,bar,Koh Phi Phi,,7.7421018,98.7732303,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/3681710924,4Play bar
6ixCret Bar,bar,Krabi,Soi 1 Khlong Top,7.5613583,99.0376713,,,,,,,,Mo-Su 10:00-00:00,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/5349092621,6ixCret Bar bar Soi 1 Khlong Top
778th Street Bar,bar,Railay,,8.0329399,98.8269986,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/9433220858,778th Street Bar bar
Amy's Bar,bar,Ao Nang,"Soi RCA, Moo 2, Road 4203, Ao Nang, 8100",8.0323877,98.8251065,+66 81 273 8819,,https://amys-bar.com/,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/2183877430,"Amy's Bar bar Soi RCA, Moo 2, Road 4203, Ao Nang, 8100"
Ao Nang Pub Crawl,bar,Ao Nang,"344/1, Ao Nang, Ao Nang, 81180",8.0360803,98.8326875,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/7040844339,"Ao Nang Pub Crawl bar 344/1, Ao Nang, Ao Nang, 81180"
Avatar Bistrobar,bar,Railay,,8.0115898,98.8419187,,,,,,,,Mo-Su 11:00-22:00,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/4724069796,Avatar Bistrobar bar
Babara Bar,bar,Koh Lanta,,7.624562,99.0333496,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/13274011448,Babara Bar bar
Back Pack Bar,bar,Railay,,8.0348702,98.8294976,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/7126099430,Back Pack Bar bar
Banana Bar,bar,Koh Phi Phi,,7.74066,98.7738324,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/3678511046,Banana Bar bar
Bang Bang Bar,bar,Railay,,8.0116418,98.841936,,,,,,,,"PH,Mo-Su 10:00-24:00",candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/4720540590,Bang Bang Bar bar
Beach Bar by Aonang Villa,bar,Railay,,8.0302976,98.823189,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/10220743106,Beach Bar by Aonang Villa bar
Beachfront Bar,bar,Koh Phi Phi,"195, Moo 7, Koh Phi Phi, 81000",7.7409085,98.7657186,,,https://www.beachfrontdivers.com/beachfront/bar,,,,,Mo-Su 09:00-21:00,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/5973713294,"Beachfront Bar bar 195, Moo 7, Koh Phi Phi, 81000"
Big Beach Bar,bar,Koh Jum,,7.817754,98.9636183,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/6297375785,Big Beach Bar bar
Boat Bar,bar,Railay,,8.0115456,98.8388139,,,,,,,,"PH,Mo-Su 08:00-23:00",candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/4727635991,Boat Bar bar
Boogie Bar,bar,Railay,,8.0315676,98.8221591,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/3661937770,Boogie Bar bar
Boom Boom Lanta,bar,Koh Lanta,,7.6226852,99.0328037,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/13282855284,Boom Boom Lanta bar
